Position;PositionIdx;Indices;Frame;Idx;Time;BacteriaLineage;NextDivisionFrame;PreviousDivisionFrame;SizeRatio;TrackErrorSizeRatio;EndOfChannelContact;TruncatedDivision;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;BacteriaCenterX;BacteriaCenterY;BacteriaCenterZ;GrowthRateArea;Size;GrowthRateLength;Length;MeanRFP
mv221_mv248__xy19;0;0-0-0;0;0;0.00000;A;1;NA;NA;NA;NA;false;0-0-0;1;1;0-0;false;false;NA;NA;2.06364;3.55896;0.00000;NA;2.56880;NA;3.66833;1.58572e+03
mv221_mv248__xy19;0;0-0-1;0;1;0.00000;B;1;NA;NA;NA;NA;false;0-0-1;1;1;0-0;false;false;NA;NA;2.05637;7.72513;0.00000;NA;2.33642;NA;3.66083;1.72106e+03
mv221_mv248__xy19;0;0-0-2;0;2;0.00000;C;3;NA;NA;NA;NA;false;0-0-2;3;3;0-0;false;false;NA;1-0-4;2.03890;11.06202;0.00000;3.72843e-03;1.96462;1.10422e-02;2.87841;2.34571e+03
mv221_mv248__xy19;0;0-0-3;0;3;0.00000;D;3;NA;NA;NA;NA;false;0-0-3;3;3;0-0;false;false;NA;1-0-5;2.06293;13.92222;0.00000;1.61304e-02;1.75337;1.61048e-02;2.75772;2.45647e+03
mv221_mv248__xy19;0;0-0-4;0;4;0.00000;E;NA;NA;NA;NA;NA;false;0-0-4;3;3;0-0;false;false;NA;1-0-6;1.98461;16.44061;0.00000;3.89808e-03;1.56325;4.62181e-03;2.34811;2.23125e+03
mv221_mv248__xy19;0;0-0-5;0;5;0.00000;F;NA;NA;NA;NA;NA;false;0-0-5;2;2;0-0;false;false;NA;1-0-7;2.05805;18.88682;0.00000;NA;1.58860;NA;2.43642;2.42422e+03
mv221_mv248__xy19;0;0-0-6;0;6;0.00000;G;NA;NA;NA;NA;0.41494;false;0-0-6;1;1;0-0;false;false;NA;NA;2.01926;20.81838;0.00000;NA;1.22525;NA;1.95541;2.56734e+03
mv221_mv248__xy19;0;0-1-0;0;0;0.00000;A;3;NA;NA;NA;NA;false;0-1-0;3;3;0-1;false;false;NA;1-1-0;2.07000;3.01867;0.00000;8.79453e-03;1.64775;9.47021e-03;2.55575;2.09564e+03
mv221_mv248__xy19;0;0-1-1;0;1;0.00000;B;1;NA;NA;NA;NA;false;0-1-1;1;1;0-1;false;false;NA;NA;2.02028;5.97189;0.00000;NA;2.23502;NA;3.51541;2.04121e+03
mv221_mv248__xy19;0;0-1-2;0;2;0.00000;C;NA;NA;NA;NA;NA;false;0-1-2;9;9;0-1;false;false;NA;1-1-3;2.08213;9.40680;0.00000;6.67445e-03;2.32375;6.43859e-03;3.20879;2.09904e+03
mv221_mv248__xy19;0;0-1-3;0;3;0.00000;D;2;NA;NA;NA;NA;false;0-1-3;2;2;0-1;false;false;NA;1-1-4;2.03607;12.21314;0.00000;NA;1.68155;NA;2.48365;2.20533e+03
mv221_mv248__xy19;0;0-2-0;0;0;0.00000;A;10;NA;NA;NA;NA;false;0-2-0;10;10;0-2;false;false;NA;1-2-0;2.02456;3.16124;0.00000;4.85677e-03;1.83787;4.35129e-03;3.08870;2.74146e+03
mv221_mv248__xy19;0;0-2-1;0;1;0.00000;B;8;NA;NA;NA;NA;false;0-2-1;8;8;0-2;false;false;NA;1-2-1;2.01278;6.20972;0.00000;4.81752e-03;1.85900;4.56351e-03;3.02442;2.93227e+03
mv221_mv248__xy19;0;0-2-2;0;2;0.00000;C;4;NA;NA;NA;NA;false;0-2-2;4;4;0-2;false;false;NA;1-2-2;2.05143;8.77883;0.00000;1.50792e-02;1.43227;1.46855e-02;2.22524;1.78211e+03
mv221_mv248__xy19;0;0-2-3;0;3;0.00000;D;3;NA;NA;NA;NA;false;0-2-3;3;3;0-2;false;false;NA;1-2-3;2.05041;11.36337;0.00000;2.22443e-02;1.08582;1.49193e-02;1.83848;1.99629e+03
mv221_mv248__xy19;0;0-2-4;0;4;0.00000;E;NA;NA;NA;NA;NA;false;0-2-4;7;7;0-2;false;false;NA;1-2-4;2.03879;13.86685;0.00000;-1.88379e-03;0.99287;-2.20265e-03;1.64567;2.12977e+03
mv221_mv248__xy19;0;0-2-5;0;5;0.00000;F;2;NA;NA;NA;NA;false;0-2-5;2;2;0-2;false;false;NA;1-2-5;2.01474;15.55934;0.00000;NA;1.06047;NA;1.92492;1.88571e+03
mv221_mv248__xy19;0;0-3-0;0;0;0.00000;A;2;NA;NA;NA;NA;false;0-3-0;2;2;0-3;false;false;NA;1-3-0;1.95027;3.07258;0.00000;NA;2.01532;NA;2.93653;1.80814e+03
mv221_mv248__xy19;0;0-3-1;0;1;0.00000;B;3;NA;NA;NA;NA;false;0-3-1;3;3;0-3;false;false;NA;1-3-1;1.92216;10.94419;0.00000;1.14701e-02;1.88435;1.49645e-02;2.55575;1.82660e+03
mv221_mv248__xy19;0;0-3-2;0;2;0.00000;C;6;NA;NA;NA;NA;false;0-3-2;6;6;0-3;false;false;NA;1-3-2;1.92340;13.59232;0.00000;4.47687e-03;1.83787;4.48865e-03;2.75772;2.03189e+03
mv221_mv248__xy19;0;0-3-3;0;3;0.00000;D;2;NA;NA;NA;NA;false;0-3-3;2;2;0-3;false;false;NA;1-3-3;1.93577;16.27846;0.00000;NA;1.69845;NA;2.51156;2.06915e+03
mv221_mv248__xy19;0;0-4-0;0;0;0.00000;A;2;NA;NA;NA;NA;false;0-4-0;2;2;0-4;false;false;NA;1-4-0;2.00519;3.99876;0.00000;NA;1.84632;NA;2.93653;2.55167e+03
mv221_mv248__xy19;0;0-4-1;0;1;0.00000;B;1;NA;NA;NA;NA;false;0-4-1;1;1;0-4;false;false;NA;NA;2.01589;7.32655;0.00000;NA;2.47162;NA;3.58031;2.13561e+03
mv221_mv248__xy19;0;0-4-2;0;2;0.00000;C;2;NA;NA;NA;NA;false;0-4-2;2;2;0-4;false;false;NA;1-4-3;1.98856;10.39213;0.00000;NA;1.74492;NA;2.86074;2.65416e+03
mv221_mv248__xy19;0;0-4-3;0;3;0.00000;D;NA;NA;NA;NA;NA;false;0-4-3;3;3;0-4;false;false;NA;1-4-4;1.96541;14.93966;0.00000;9.84131e-03;1.30130;1.16544e-02;1.96726;3.05332e+03
mv221_mv248__xy19;0;1-0-0;1;0;10.00000;AH;5;1;0.99507;NA;NA;false;1-0-0;4;4;0-0;false;false;0-0-0;2-0-0;1.99174;2.80476;0.00000;1.50842e-02;1.32242;1.46617e-02;2.21382;1.60814e+03
mv221_mv248__xy19;0;1-0-1;1;1;10.00000;AT;6;1;0.99507;NA;NA;false;1-0-1;5;5;0-0;false;false;0-0-0;2-0-1;2.03236;4.92175;0.00000;1.70499e-02;1.23370;1.73062e-02;1.95433;1.71322e+03
mv221_mv248__xy19;0;1-0-2;1;2;10.00000;BH;6;1;1.13562;NA;NA;false;1-0-2;5;5;0-0;false;false;0-0-1;2-0-2;2.00097;7.37750;0.00000;1.49671e-02;1.17455;1.34439e-02;1.91281;1.66447e+03
mv221_mv248__xy19;0;1-0-3;1;3;10.00000;BT;8;1;1.13562;NA;NA;false;1-0-3;7;7;0-0;false;false;0-0-1;2-0-3;2.04211;9.44357;0.00000;8.38717e-03;1.47875;8.88836e-03;2.33367;1.60860e+03
mv221_mv248__xy19;0;1-0-4;1;4;10.00000;C;3;NA;1.08602;NA;NA;false;0-0-2;3;3;0-0;false;false;0-0-2;2-0-4;2.00123;12.20353;0.00000;3.72843e-03;2.13362;1.10422e-02;3.27332;2.16674e+03
